token,count,example
kiava,283,Pict-Report on Events on the Bridge on Approach to Kiava Gamma
commorragh,283,You left Sister Argenta to seek her own death in the streets of Commorragh after she confessed to killing Theodora von Valancius.
tech-priests,281,"Pasqal is an Operative like Idira, but he is also a member of the fellowship of Tech-Priests, which grants him additional options, advantages, and unique capabi"
seneschal,271,You allied with Seneschal Laria Voigtvir and sided with Seberian in the confrontation with the Inquisition.
administratum,263,Adeptus Administratum
glaito,254,"A true expert in the strategies of the Vigilant, Proctor Solomorne Anthar of the Adeptus Arbites excels in tactical combat, using a shield and a shotgun. His lo"
servo-skull,253,Servo-Skull Swarm
incendia,253,Incendia Chorda was executed.
magos,234,"Under your influence, Magos Exalt-117 performed timely maintenance on the air defence turrets."
chorda,232,You refused to help Footfall with shipments of grain and allowed the Chorda dynasty to take control of the station.
cyber-mastiff,231,Cyber-Mastiff
rykad,230,Archived Report on the Events on Rykad Minoris
medicae,226,"You can use a medikit to restore your party members' wounds in battle, treat an injury, or get rid of certain negative effects (if the character is injured or s"
lex,225,"Gain access to the two upcoming major story expansions for Warhammer 40,000: Rogue Trader and save with the bundle price!1. Void ShadowsThe first story expansio"
bloodspun,219,Your influence has made Kibellah adhere to the Tenets of the Bloodspun Web with greater vehemence.
servitor,218,Base Servitor Female 1
pasqal's,218,Pasqal's Abilities
vladaym,213,Vladaym Tocara was executed.
servitors,209,You ordered that the defective servitors be assigned to their former duties.
psy,205,"When a psyker reaches a new level, they can choose to learn new psychic powers and psyker talents instead of archetype abilities and talents. Psychic powers and"
heydari,199,Jae Heydari
psyker's,190,(2 × psyker's staff power level × psy rating + psyker's WP bonus)
calcazar,189,Inquisitor Xavier Calcazar
binharic,189,"Binharic (Lingua-Technis, Cant Mechanicus)"
nomos,187,Nomos
werserian,187,Abelard Werserian
yrliet's,186,"Yrliet is a xenos, one of the Asuryani. She is a Ranger who follows the Path of the Outcast, and her skills in ranged combat are without equal. Yrliet does not "
imperialis,183,Lex Imperialis
minoris,178,Galvanic Oubliette Minoris
wielder,173,You have found a new staff! Psykers can use staves to channel new psychic powers and their variations in the form of heroic acts or desperate measures. The staf
zarkov,170,You entrusted the governance of Zarkov to Colonel Izdrig Batoshski.
genetor,170,"Genetor Majoris Ferrenz was wounded in the attack on the Sector Bionica, and you failed to prevent it."
cultists,168,You used the cultists' clothes to disguise yourself.
marazhai's,164,Marazhai is a Drukhari and a Dracon of the Kabal of the Reaving Tempest. Marazhai does not use human weapons and can wear either Drukhari armour or — if he lear
psykers,164,You have found a new staff! Psykers can use staves to channel new psychic powers and their variations in the form of heroic acts or desperate measures. The staf
gaprak,163,Trade representatives of House Gaprak have become involved in the trade of xenos artefacts by the grace and in the name of the Rogue Trader.
haemonculus,160,You discussed the origins of the servo-skull named Nuncius with the Haemonculus Tervantias.
calox,157,Heinrix van Calox
kibellah's,157,"Kibellah has a remarkable background. As a Death Cult assassin, she can use a special ability called Raining Blood. When used, it causes the target of Kibellah'"
tervantias,156,You decided not to kill Tervantias the Archmachinator in Commorragh.
omnissiah's,154,Blessed by Omnissiah's adherents.
heinrix's,154,"The Inquisitor poured all his energy into the creation of a secret police, which he used to clandestinely control the most influential figures in the Expanse. H"
reaving,153,Marazhai is a Drukhari and a Dracon of the Kabal of the Reaving Tempest. Marazhai does not use human weapons and can wear either Drukhari armour or — if he lear
imperium's,153,"Created from the remains of the Imperium's most faithful servants and the technologies of the Adeptus Mechanicus, these sacred mechanisms together can perform a"
arch-militant,151,"MK ""Arch-Militant"""
nemesite,151,"""I certainly hope that was the last Nemesite. I have lost count of how many dead firebrands claimed to carry that infamous name."""
amarnat,150,You helped revive the Amarnat Collective.
kabal,146,Marazhai is a Drukhari and a Dracon of the Kabal of the Reaving Tempest. Marazhai does not use human weapons and can wear either Drukhari armour or — if he lear
navis,146,Interview of Witnesses to the Sanctum Navis Incident
crudarach,145,Craftworld Crudarach
voigtvir,144,Kunrad Voigtvir
data-slate,143,Data-Slate
achilleas,142,"After months of searching, Dargonus wardens found the remains of Achilleas Scalander on the lowest levels of the hive. Drukhari artefacts and records discovered"
jae's,141,Jae's Cervical Node
promethium,141,Promethium
immaterium,140,"Gain access to the two upcoming major story expansions for Warhammer 40,000: Rogue Trader and save with the bundle price!1. Void ShadowsThe first story expansio"
bionica,140,"You have obtained an augment. They cannot be equipped like weapons or gears. To insert it into the body, you need to use an Implantation Throne in Sector Bionic"
vizsier,139,"After witnessing the deeds of Marshal Anthar, Vizsier Kibellah asked the cards about his fate. The very next day, a spinner was assigned to him, tasked solely w"
vigdis,137,"The voice of Vox Master Vigdis Surri Otta of the Toliman dynasty has long resounded in the Expanse, bringing hope and trumpeting the arrival of the merciful Rog"
tech-priest's,134,"Pasqal is an Operative like Idira, but he is also a member of the fellowship of Tech-Priests, which grants him additional options, advantages, and unique capabi"
juvenna,134,You allied with the heir Juvenna von Valancius and sided with the Inquisition in the confrontation with Seberian.
vistenza,133,Vistenza Vyatt remained in charge of Janus.
thassera,133,The governor of Thassera was killed.
hmm,131,"""Hmm... Has anyone else noticed that, from a certain angle, that lump of rock looks remarkably like—"""
drivestem,128,You convinced Camilla Drivestem to join your side.
solomorne's,127,"A true expert in the strategies of the Vigilant, Proctor Solomorne Anthar of the Adeptus Arbites excels in tactical combat, using a shield and a shotgun. His lo"
augmetics,127,Enhanced Augmetics
vheabos,126,You exiled Izdrig Batoshski to Vheabos VI for insubordination.
aett-vater,126,"""Thank you, Aett-Vater. Your concern for our fate will not be forgotten by the Baleful Howl."""
maive,125,You took Maive aboard your ship.
amasec,123,Amasec
cultist,117,Human Cultist Male
haneumann,117,Pasqal Haneumann
realspace,117,"Psykers are dangerous not only to their enemies, but to everyone around them (including themselves). When using psychic powers, the psyker and their allies can "
kasballica,115,Kasballica Mission
fel,113,All allies gain a +(4 × FEL bonus) bonus to Weapon Skill and Ballistic Skill.
kunrad,113,Kunrad Voigtvir
farseer,113,The Farseer Eklendyl Ma'ersh perished in the Spire of the Reaving Tempest.
cyber-eagle,112,Cyber-Eagle
astropathic,112,Astropathic Chapel
asuryan,111,The Children of Asuryan
manufactorum,111,Manufactorum
quetza,110,"After the death of Rogue Trader Winterscale on Quetza Temer, you made an agreement with House Winterscale, and so the dynasty's heir came to repay his debt to y"
agi,109,(AGI bonus × FEL bonus)
laria,108,You allied with Seneschal Laria Voigtvir and sided with Seberian in the confrontation with the Inquisition.
god-emperor's,108,An arcane cybernetic artefact that encases the God-Emperor's physical remains entire and preserves them using stasis fields and psi-fusion reactors.
eogunn's,107,"Eogunn has a unique background. As a Manipulus, he can accumulate a special resource known as potential energy for each AP spent. His mechadendrites channel thi"
ryzza,107,You learned the code phrase for Ryzza of Footfall from Bakhval on Rykadi Philia.
fenris,105,"Fenris is a death world of fire and ice, located on the fringe of the Segmentum Solar and home to the Space Wolves Chapter of the Adeptus Astartes. Each planeta"
anthar,104,Solomorne Anthar
drusus,104,Gear up for Koronus Expanse with additional in-game items and digital goodies! This pack includes: -OST The full collection of our fabulous in-game tracks. Enjo
ecclesiarchy,104,"The religious body of the Imperium, also known as the Ecclesiarchy, which venerates and promotes the worship of the Emperor of Mankind."
temer,103,"After the death of Rogue Trader Winterscale on Quetza Temer, you made an agreement with House Winterscale, and so the dynasty's heir came to repay his debt to y"
einrich,103,"""Your family is dead, Einrich."""
mechadendrites,102,"Eogunn has a unique background. As a Manipulus, he can accumulate a special resource known as potential energy for each AP spent. His mechadendrites channel thi"
haemonculus's,102,Haemonculus's Injector
choirmaster,101,Choirmaster
thorbald,101,"After joining the Stormbiters, Ulfar Thunderlung soon became the pack leader, taking the place of Thorbald, who met an honourable end. The new leader sent a mes"
batoshski,100,You appointed Colonel Izdrig Batoshski to be your Arch-Militant.
farseers,99,You did not go with Yrliet to search for the Farseers in the Spire of the Reaving Tempest.
xenos's,99,"von Valancius, after entering the portal opened by the duplicitous Trazyn the Infinite, found himself on his own voidship — but not at the end of his glorious s"
weisz,98,The symbol of the Imperium gleams proudly under a crust of purple psychic ice. The frozen shell bears faint fingerprints left by Choirmaster Weisz in the midst 
nobilite,97,"The Starway Atlas of House Orsellio, which turned out to be a xeno-artefact containing the souls of Asuryani and Navigators, was preserved so that the Navis Nob"
astra,97,"Before becoming a Rogue Trader, you were a lieutenant general of the Astra Militarum."
archon,97,Greaves of the Black Archon
muaran,97,Time spent on the same world as mon-keigh pushed the Farseer Muaran toward reflection. When the Webway Gate awoke on Janus and squads of Aeldari rangers stepped
vyatt,96,Vistenza Vyatt remained in charge of Janus.
astropaths,96,You ordered that the Astropaths be provided with good food and balms.
master-at-arms,96,You told the Master-at-Arms about the ablutions you shared with the two enforcers.
felek,94,Felek (Cutscene)
seberian's,94,You handed the psyker's journal found near Seberian's crypt over to Izdrig Batoshski.
yremeryss,93,Djin Blade of Yremeryss
cogitators,92,This skill is affected by the Intelligence characteristic. It makes a character's rational arguments more convincing and allows them to notice any logical incon
argenta's,91,Argenta is the warrior of the Adepta Sororitas and a Soldier. She is an expert with burst ranged weapons and weapons that deal damage in an area. Another of Arg
allfather,91,"The noble Space Wolf Ulfar ultimately found the honourable death he so longed for. He died in a fight with the Rogue Trader, who had betrayed the Allfather, and"
ravor,90,Ravor
mechadendrite,90,"Pasqal is an Operative like Idira, but he is also a member of the fellowship of Tech-Priests, which grants him additional options, advantages, and unique capabi"
webway,90,You saved the Farseer Eklendyl from his imprisonment in the Spire of the Reaving Tempest and let him accompany you through the Webway Gate.
danrok,90,High Factotum Janris Danrok was killed as an example to the rest of the officers during Marazhai's visit to the bridge.
militarum,90,"Before becoming a Rogue Trader, you were a lieutenant general of the Astra Militarum."
lilaethan,88,Time spent on the same world as mon-keigh pushed the Farseer Muaran toward reflection. When the Webway Gate awoke on Janus and squads of Aeldari rangers stepped
cogitator's,88,"A message is blinking impatiently on the cogitator's vid-screen: ""PROCESS: Linguistic analysis [Alg.54782136] STATUS: Awaiting data cataloguing. Activate inform"
cooldown,87,"One of the possible parameters of a Navigator's staff. It is always followed by a numerical value (for example, devastating 10). The first use of an attacking N"
infernus,87,You saved the Infernus Master's family from the enforcers' arbitrary persecution.
edelthrad,86,Edelthrad
manipulus,85,Manipulus
melta,85,"In order to open locked doors, clear rubble, coerce machine spirits, and overcome other challenges you can also use consumable items. To open the door in front "
uralon,85,"With a holy litany and His divine aid, you disrupted Uralon the Cruel's vile ritual and weakened him."
astartes,85,Adeptus Astartes
fidelio,85,"Appropriated the pirate Denz's inheritance by posing as his lawful heir, Fidelio."
explorator,84,"Combining the roles of adventurer, warrior, and emissary of the Machine Cult, Explorators possess enviable power and immense resources. They traverse the galaxy"
eufrates,84,Eufrates II
tgh,83,This creature's unnaturally thick skin increases their armour by +(5 × TGH bonus)%.
idira's,83,Idira's Weapon
eurac,83,You convinced Cassia Orsellio to depart Eurac V of her own free will.
voidsmen,83,You accepted the mutated voidsmen from the corrupted ship on board your vessel.
tisiphone,82,"For a long time, the Expanse was filled with rumours of the brutality with which Navigator House Orsellio severed its branches and suppressed its inner strife. "
psyber-raven,81,Psyber-Raven
ulfar's,81,"Ulfar is a Space Wolf, a mighty Space Marine. His proportions instil respect in his allies and fear in his foes, but because Ulfar takes up 4 cells instead of 1"
ferrenz,81,"Genetor Majoris Ferrenz was wounded in the attack on the Sector Bionica, and you failed to prevent it."
emelina,81,"""Losing a Sage is a heavy blow to the Lord Inquisitor's circle. Finding a replacement for Emelina will be a challenge."""
janris,80,High Factotum Janris Danrok was killed as an example to the rest of the officers during Marazhai's visit to the bridge.
tocara,79,Vladaym Tocara was executed.
plasteel,79,A synthetic material as light as plastic yet as durable as steel. Plasteel is commonly used in the production of armour.
trazyn,78,Trazyn
incendia's,78,"Having learned a bitter lesson on Footfall, Incendia Chorda let go of her fanatical zeal. Relinquishing the reins of power, she secluded herself on a cloister w"
vid-screen,78,"The Sentinel's jaws clamp around your hand, puncturing your skin and sinking into your flesh. A few dark drops fall into the servitor's throat — and immediately"
opticon,77,"Emissaries of the Machine Cult, exploring the galaxy on their Explorator Fleets, powerful and full of resources, commanding countless serfs, servitors, and adep"
cap'n,76,"""Lord Cap'n, the augurs have detected Aeldari ships! Combat is imminent! Our more experienced officers advise piercing their multi-charge shields with a series "
macro-cannons,75,"Blast attacks include those made with lance weapons, plasma macro-cannons, and torpedo detonations (both on misses via a proximity fuse and when detonated manua"
augmetic,74,"Abelard, bring me the mirror! Travel across the Koronus Expanse with fresh flair. This appearance pack for Warhammer 40,000: Rogue Trader includes seven distinc"
craftworld,74,Craftworld
calixis,73,"Before becoming a Rogue Trader, you were a Marshal of the Adeptus Arbites in the Calixis Sector."
februs,73,"Under your influence, Manipulus Eogunn Februs returned to the righteous path of service to the Omnissiah."
c'tan,72,C'tan Shard
macharius,72,Ignatius/Lazarus/Marn/Malakai/Aubray/Harmon/Nathin/Solar/Vorgen/Zachary/Cornelius/Macharius/Holt/Aestaban/Orthesy/Siegmund/Seth/Borin/Wilbur/Persivaul/Phinnean/
explorators,71,Explorators
clementia,71,"Clementia Werserian, granddaughter of Abelard and chancellor of Dargonus, executed her duties irreproachably and even found time to school the younger generatio"
damage-over-time,70,"Executioners are specialists in inflicting enduring and excruciating pain on all enemies around them, exploiting it to quickly eradicate their adversaries. Core"
erebis,70,"Mattis Erebis was a loyal and dutiful servant of the Rogue Trader. Because of his vehement faith in the Undying Emperor, he was permitted to join the Bloodspun "
archeotech,69,Archeotech
winterscale's,69,"Every kill with a melee weapon permanently increases Winterscale's melee damage and armour by +1%. While he has less than 50% of his maximum wounds, those bonus"
chorda's,68,You reinforced Incendia Chorda's conviction of the righteousness of her methods and fervent service to the God-Emperor.
evayne,68,"Evayne Winterscale underwent his Magnae Accessio and became his dynasty's new Rogue Trader. Many said that noble Evayne lacked firmness of judgement, yet he had"
octaviana,68,"When Octaviana became the new leader of the Kasballica Mission, she made every effort to not end up like Vladaym. The Mission's leadership demanded profits, and"
denz,68,"Adelia Bellardo, the granddaughter of the pirate Jerrycan Denz Bellardo, grew up to be a quick-witted and energetic captain. Since her guardian, who went simply"
tlass,67,Idira Tlass
airlock,67,The Vackemo was found guilty of armed mutiny. He and three of his accomplices were brought to Footfall and executed by being thrown out of an airlock so that th
dunawski,66,"You received a pair of Guardsman ear mufflers from Vedka Dunawski, modified with local wood."
novator,66,Novator
foulstone,65,A substantial part of a Rogue Trader's fortune depends on the efficiency and welfare of their colonies. House von Valancius has already established four colonie
ferrum,64,Ferrum Sanctum
leethus,64,You rescued the Arbitrators from Leethus.
voidships,64,The psychic beacon that helps Navigators to triangulate a course for their voidships through the warp.
enginseer,64,Enginseer
necron,63,Necron Skorpekh Lord / Immortal / Deathmark
astropath,63,"Gain access to the two upcoming major story expansions for Warhammer 40,000: Rogue Trader and save with the bundle price!1. Void ShadowsThe first story expansio"
servitor's,63,The wires in the servitor's head are still smouldering. It would seem the cause of this malfunction was the short-circuiting of the Motive Force.
voidship's,62,Explore the Void with these additional in-game items:- Unique Rogue Trader Throne — in-game item Change the appearance of the throne on your voidship's bridge t
bladedancer,62,Kibellah is a Bladedancer. Bladedancers are incredibly skilled sword fighters who can devastate enemies using two special attacks: Blade Dance and Death From Ab
starport,62,You sent reinforcements from your ship to help Sergeant Malgar and his people at the starport.
vedka,62,"You received a pair of Guardsman ear mufflers from Vedka Dunawski, modified with local wood."
manufactorums,62,"By operating secret manufactorums to produce the bionic hands found on Zarkov, the dynasty can greatly enrich itself — not to mention the fact that Cold Traders"
medikit,61,"Burning surfaces, electricity, toxic fumes, and other hazardous environmental effects can deal damage to your party or inflict ongoing negative effects. Use a m"
sai'lanthresh,61,Sai'lanthresh
strachs,61,"Solomorne remained on Vheabos VI, struggling long and hard to wrestle back control over himself from his own tumultuous rage. It was not to last, however. One d"
tech-use,60,"Eogunn has a unique background. As a Manipulus, he can accumulate a special resource known as potential energy for each AP spent. His mechadendrites channel thi"
asuryani,60,"Yrliet is a xenos, one of the Asuryani. She is a Ranger who follows the Path of the Outcast, and her skills in ranged combat are without equal. Yrliet does not "
izdrig,60,You appointed Colonel Izdrig Batoshski to be your Arch-Militant.
ruoldo,60,"Ask if the governor knows the ruler of Thassera, Ruoldo, who hails from the planet Idex."
str,59,(1 + STR bonus / 2)
falco,59,"You set off the alarm in the sewers, causing Falco to execute Jae Heydari's gang."
amasecus,58,"When Octaviana became the new leader of the Kasballica Mission, she made every effort to not end up like Vladaym. The Mission's leadership demanded profits, and"
sauerback's,58,Regina Sauerback's sugar-tongued loyalty to the Rogue Trader prompted many crude rumours. The gossip stopped one day when the Sauerbacks' cold bodies were found
voidborn,56,Voidborn are humans birthed in the belly of a void vessel or aboard an ancient orbital satellite. Those who have lived their lives on voidships become inured to
vox-caster,55,"After a lengthy descent to the planet, you are rewarded with a dismal sight. The entire outpost consists of long columns of uniform bunkhouses, machine hangars,"
calcazar's,54,You earned Lord Inquisitor Calcazar's trust. There are few boons more precious to be found in the entire Koronus Expanse.
altar-templum-calixis-ext,54,Altar-Templum-Calixis-Ext-17
xenotech,54,"By operating secret manufactorums to produce the bionic hands found on Zarkov, the dynasty can greatly enrich itself — not to mention the fact that Cold Traders"
vivisector,54,"Genetor Ferrenz, left in charge of the Sector Bionica, came to better understand Vivisector Martinax after the chirurgeon was fitted with a cortical implant. By"
adalbert,54,"""Confessor Adalbert, I ask for your blessing before a righteous battle."""
aezyrraesh,53,Marazhai Aezyrraesh
hrotko,53,"You gave Hrotko, captain of the ship's enforcers who attempted to mislead the investigation, a second chance by having him serve penance as an initiate at the s"
sargona,53,Captain Sargona considers the Rogue Trader his priority target.
chirurgeon,52,"Gain access to the two upcoming major story expansions for Warhammer 40,000: Rogue Trader and save with the bundle price!1. Void ShadowsThe first story expansio"
grox,52,"A large, semi-domesticated reptile. Grox are most commonly bred as livestock or used as beasts of burden."
lexmechanic,52,Lexmechanic
scalander,52,"After months of searching, Dargonus wardens found the remains of Achilleas Scalander on the lowest levels of the hive. Drukhari artefacts and records discovered"
cognatius,52,"Treasures and influence quickly corrupted the supreme hierarchs of Foulstone, turning them into a coterie of venal egotists anointed by greed. As they did dirty"
jinevri,52,"""Jinevri is dead?"""
leftmouse,51,"Some objects in the game can be interacted with in a special way. They are marked with specific icons — some icons allow you to study objects, others will trans"
wielder's,51,A shield is equipped in one hand but occupies the slot in both weapon sets. Every shield has a chance to block an enemy's attack. If a hit in a burst attack is 
merovians,51,"You sent the Merovians away before the fight with the Drover, without causing them offence."
merov,51,Merov Penal Legion
reliquary,51,Unholy Reliquary
nazrakhei,51,"""Nazrakhei had no reason to leave the Webway. But he must not have had a choice if Vect's wrath was truly blazing at his back."""
thassertium,50,You decided to destroy the thassertium along with the entire planet.
cyber-mastiff's,50,The cyber-mastiff gains +15 Weapon Skill and Strength and deals +150% more damage. The cyber-mastiff's attacks of opportunity against the apprehended target alw
drukhari's,50,"Turn the planet into a world of blood-soaked pleasures, following the Drukhari's idea"
technomats,50,"The Imperial Navy has tried to conscript the fellowship of Mech-Sages on Larcheen, renowned creators of airborne machines, by force. The brave technomats have d"
overpenetration,49,Some shots are able to pierce enemies through and deal damage not only to them but also to the characters standing behind them. The armour penetration parameter
lumens,49,"Having revealed himself as the renewed Messiah of Discontinuing, Pasqal Haneumann caused great turmoil. Free from his vows of service, he did not burden himself"
domin's,49,"With a passion that bordered on depravity, Kibellah gave in to the feeling that had sparked between her and the Domin. Years passed, but her attraction to the L"
archmagos,48,Archmagos
museion,47,"""The Infinite Museion"" is the third story expansion for Warhammer 40,000: Rogue Trader, drawing you into the iconic vault of Trazyn the Infinite. Pursue rare ar"
elana,47,"The Seneschal listens silently to the vox-conversation. Her face hardens further with every word she hears: ""Elana to servants of the Golden Throne. Transmittin"
aaronto,46,Regent Aaronto – House Orsellio Regent (Cutscene)
mercatum,46,"You convinced Jae Heydari that it was her duty to the Imperium to protect the Mercatum Tabula Officiale, even at the cost of her associates' lives."
tabula,46,"You convinced Jae Heydari that it was her duty to the Imperium to protect the Mercatum Tabula Officiale, even at the cost of her associates' lives."
martinax,46,"Chirurgeon Jaze Martinax was wounded in the attack on the Sector Bionica, and you failed to prevent it."
fabricator-censor,46,Fabricator-Censor
vultur,46,"After the trial of Prefect Vultur and Marshal Strachs, the Rogue Trader ordered the Arbites to find a new commander and forget about House von Valancius. The Ma"
ashmag,46,"""No one is keeping you here, ashmag. You're welcome to demonstrate your superior intellect all you like in the void. Shall I hold the airlock open for you?"""
dracon,45,Marazhai is a Drukhari and a Dracon of the Kabal of the Reaving Tempest. Marazhai does not use human weapons and can wear either Drukhari armour or — if he lear
officiale,45,"You convinced Jae Heydari that it was her duty to the Imperium to protect the Mercatum Tabula Officiale, even at the cost of her associates' lives."
triasomata,45,You sent the Triasomata created by Eogunn to the Sector Bionica to be studied.
elucidator,45,Elucidator
tisiphone's,45,"In her journeys with the Rogue Trader, Cassia Orsellio experienced all the hardships and delights of the galaxy. The invaluable experience and new knowledge hel"
glaito's,45,"Having dealt with the Adeptus Arbites, Solomorne Anthar became the Rogue Trader's personal investigator. Whenever von Valancius wanted to track someone down, he"
khaine,45,"[Open entry titled ""The Crimson Dance of Khaine""]"
naaki,45,"""I must locate someone named Naaki Erebis. Find whatever information you can."""
worten,45,Worten the Grey bares his teeth in anticipation and clutches the hilt of his sword.
bolter,44,The wearer's attacks gain bonuses based on the type of weapon used: -Attacks with melta and plasma weapons gain +% armour penetration. -Attacks with bolter and 
lasgun,44,Necrontech Hot Shot Lasgun
adamantine,44,Adamantine Alloys
santiel's,44,Santiel's Pride
valancius's,44,"The subjugated deity in House von Valancius's service ensured the Imperium's firm grip on the Expanse's throat. By eradicating enemies and unbelievers, the Rogu"
wyches,44,The old Sslyth Malice died when enraged Wyches of the Cult of the Fatal Thirst punished everyone who had helped the Rogue Trader. The proud xenos had destroyed 
ordo,44,"Heinrix van Calox, the former Interrogator of the Ordo Xenos, renounced the Holy Inquisition in the name of the one who had forever conquered his heart. A heret"
vladaym's,44,The words uttered by Vladaym Tocara during his torturous execution were not forgotten. The lower levels of Footfall became flooded with lunatics muttering scrap
another's,44,The antagonism between the Baroness of Shadows and the Marshal of the Expanse became the stuff of legends. Thousands of people found themselves entangled in the
starborn,44,"""The Starborn descended on the Eagle-God's wings of fire to help us!"""
necrons,43,"Unlock two major story expansions for Warhammer 40,000: Rogue Trader in one bundle. Explore a starship graveyard warped by madness and face the Necrons. New loc"
theobald,43,You took Theobald Orsellio's side in the conflict on Eurac V.
furibundus,43,"There are many ways to obtain new ship components — you can collect them as spoils of war, receive during certain events, collect them as rewards from your colo"
calligos's,43,The era of Calligos's cruelty and wrath came to an end. Only then did the many terrified witnesses to his vile crimes step forward to recount them. Memories of 
aeldari's,43,The Farseer Muaran led the now sparse army of those who had once been given sanctuary on Janus into battle. Their time in the den of evil had taken too many of 
kharael,43,Kharael
agri-world,42,Internal Procedural Report: Search for Rebels on Agri-World Janus
eklendyl,42,The Farseer Eklendyl Ma'ersh perished in the Spire of the Reaving Tempest.
sorcerous,42,"A psyker who has not undergone the sanctioning rituals designed to protect the psyker's soul from the machinations of the warp, yet still possesses an unfettere"
magnae,42,The old servants of the dynasty noted the participation of Abelard Werserian in the Magnae Accessio and appreciate such distinguished continuity.
accessio,42,The old servants of the dynasty noted the participation of Abelard Werserian in the Magnae Accessio and appreciate such distinguished continuity.
eschatos,42,The schism of Discontinuing the Cycle was over. The repentance of Pasqal Haneumann put a stop to the discussion about whether to update the algorithms and proce
isimond,41,You forced Isimond Sauerback to obey your orders.
voidsman,41,Reinforced Voidsman Armour
bellardo,41,"Adelia Bellardo, the granddaughter of the pirate Jerrycan Denz Bellardo, grew up to be a quick-witted and energetic captain. Since her guardian, who went simply"
vox-system,41,"""Honoured Magos, bless us in the Omnissiah's name."" Reinheld humbly bows his head and nods solemnly along with the binharic prayer pouring out of Pasqal's vox-s"
werserians,41,"""I cannot comprehend it."" The Seneschal shakes his head helplessly. ""The Werserians have served the Rogue Trader dynasty loyally for generations... This is hard"
medineh,41,The ancient anti-aircraft battery has been destroyed. It is best to inform Governor Medineh about this and discuss the departure to the monastery.
arebennian,41,"""You think the Arebennian can be predicted? How naive. Then again, you mon-keigh know too little of his kind to make a sound judgement of these... performers."""
owlcat,39,Owlcat Games
efreet,39,Some might say it is foolish to spend a fortune on a mere neck implant. Jae Heydari would counter that wearing a mere neck implant while being the Princess of E
orsellio's,39,Lady Navigator Elina perished on Dargonus after her attempt on Cassia Orsellio's life.
ministorum,39,"Before becoming a Rogue Trader, you were an archdeacon of the Adeptus Ministorum."
